gouvernorat,year,fire_count,area_burned_ha,forest_area_ha,other_forest_area_ha,tavg,tmax,tmin,prcp,wspd,pres,NDVI,NDMI,NBR,brightness,total_frp,confidence,satellite_fire_count
Jendouba,2024,69.0,59.0,98714.0,14964.0,20.423273657289,45.4,1.0,319.2,8.743222506393861,1016.5790281329924,0.0914616161596195,-0.0731638357434291,-0.0059631625375637,343.3782608695652,5400.1,72.3695652173913,46.0
Jendouba,2025,199.0,317.54,98714.0,14964.0,19.395616438356164,45.3,1.5,439.9,8.340821917808219,1016.5808219178082,0.0967184463527816,-0.0661117097889653,0.0089611435498509,323.0436454752181,0.0,65.29756656992024,0.0
Kairouan,2015,22.0,34.714,36879.0,34773.0,29.48888888888889,45.2,9.0,3.3,2.465217391304348,1027.35,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,326.55925925925925,1555.4,76.92592592592592,27.0
Kairouan,2016,27.0,58.28,36879.0,34773.0,24.198245614035088,43.0,6.3,7.5,2.76140350877193,1016.4907407407408,0.0879141178786147,-0.0846342302974722,-0.0082116464758534,330.81739130434784,1038.1,69.95652173913044,23.0
Kairouan,2017,50.0,230.258,36879.0,34773.0,22.73028846153846,47.7,2.8,124.3,3.901745635910224,1016.808163265306,0.0933731145518495,-0.0669132642829673,0.0061034217563699,343.40845070422534,7943.6,83.07042253521126,71.0
Kairouan,2018,2.0,8.0,36879.0,34773.0,21.35844504021448,48.3,4.4,369.6,6.675931232091691,1016.5728096676736,0.0959039001687728,-0.0663463865843227,0.0043743479416053,328.725,887.6,86.33333333333333,12.0
Kairouan,2019,12.0,54.56,36879.0,34773.0,21.330727762803235,47.1,4.0,323.5,6.967924528301887,1015.6140161725068,0.0998440982289535,-0.0611242984506595,0.0106915699935473,324.8333333333333,493.1,75.75,12.0
Kairouan,2020,17.0,53.712,36879.0,34773.0,21.298927613941014,46.0,-3.6,452.8,6.2691689008042895,1017.0828418230564,0.0897816820035692,-0.0679746528746105,0.0015501495830085,332.0352941176471,756.7,69.29411764705883,17.0
Kairouan,2021,27.0,1833.18,36879.0,34773.0,25.20558882235529,50.3,-4.7,75.2,6.429940119760479,1015.8630738522954,0.0905192926526844,-0.0746935526907049,-0.0048822240377054,339.1467065868263,13900.6,78.88023952095809,167.0
Kairouan,2022,19.0,382.774,36879.0,34773.0,23.404455445544556,48.0,2.9,222.4,6.050742574257426,1016.6371287128712,0.0913547866387106,-0.0714221939326607,-0.0043436193194611,332.81960784313725,3173.7,76.86274509803921,51.0
Kairouan,2023,22.0,475.12,36879.0,34773.0,22.3505376344086,49.0,2.0,353.0,6.751881720430107,1016.3997311827956,0.0819683107850688,-0.0732904107427646,-0.009085787486084,343.2454545454545,1405.8,80.63636363636364,11.0
Kairouan,2024,15.0,17.0,36879.0,34773.0,21.9716621253406,47.0,-1.3,268.7,6.290735694822888,1016.791553133515,0.0926692248773763,-0.0718498745244841,-0.0048019923883897,314.94,59.3,65.6,5.0
Kairouan,2025,29.0,36.17,36879.0,34773.0,21.713424657534247,47.7,0.8,259.8,6.023835616438356,1016.6457534246576,0.0967184463527816,-0.0661117097889653,0.0089611435498509,323.0436454752181,0.0,65.29756656992024,0.0
Kasserine,2015,13.0,22.0825,132326.0,26717.0,26.910591801085896,40.739999999999995,14.3,2.0555555555555554,13.165516360070134,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,321.70263005783477,0.0,61.68557775341401,0.0
Kasserine,2016,17.0,8.688,132326.0,26717.0,22.00346496085974,40.233333333333334,4.311111111111111,5.672727272727273,13.619223517905711,1016.8962394965931,0.08933277091171263,-0.079292706691506,-0.0030758624181950996,322.52989787254387,0.0,61.49336910961134,0.0
Kasserine,2017,16.0,1017.521,132326.0,26717.0,21.272126366616064,44.44444444444444,0.35555555555555557,88.8,13.01565390444876,1016.840465441503,0.0944268191107382,-0.06406095298103373,0.008192211880793963,326.5986745217249,0.0,63.256359378637306,0.0
Kasserine,2018,11.0,1.995,132326.0,26717.0,20.45376754505939,45.14545454545455,1.8272727272727274,145.47272727272727,13.726083768892119,1015.0103880944705,0.09556175740947545,-0.06582210391356734,0.0047613527309758544,319.2079996939088,0.0,61.5048668503214,0.0
Kasserine,2019,13.0,1179.536,132326.0,26717.0,20.614126650036905,44.88181818181818,-1.9909090909090907,135.0,14.138777271102885,1015.6160992473164,0.1002167567313819,-0.06137518432071138,0.010599490958451991,323.4933877920087,0.0,68.466127675163,0.0
Kasserine,2020,25.0,22.026,132326.0,26717.0,21.32628943746091,44.554545454545455,1.1909090909090911,142.9090909090909,13.39006922932628,1016.8704736188581,0.08977367616120505,-0.06877452522284531,0.0008038702147865018,329.25747293512,0.0,71.88394781335957,0.0
Kasserine,2021,27.0,14122.48,132326.0,26717.0,22.090646902066204,47.654545454545456,0.1,152.75454545454545,13.769729967386246,1016.1590162087291,0.09056086888299263,-0.07136040127289321,-0.0033992255451026454,324.1634510140843,0.0,67.5791062391721,0.0
Kasserine,2022,10.0,2.5005,132326.0,26717.0,21.252064231033952,44.22727272727273,1.4909090909090907,161.3909090909091,12.909214717074235,1017.1483075252759,0.09062421070345383,-0.07001989969980184,-0.003517594190538891,322.98870284780577,0.0,62.83833935328518,0.0
Kasserine,2023,5.0,9.17,132326.0,26717.0,21.327951415829908,48.019999999999996,-4.0600000000000005,279.8818181818182,13.476098520463276,1016.4133592864315,0.08099979695142666,-0.07350739271986148,-0.009469364905817346,324.2538285968604,0.0,67.5316102425945,0.0
Kasserine,2024,19.0,7.0,132326.0,26717.0,21.380369550463985,44.08,-2.0699999999999994,204.76363636363638,13.516285262934412,1016.5428084522988,0.09208614438952391,-0.07286868368816443,-0.005818128310276672,316.2404094202899,0.0,66.7363612836439,0.0
